time,dof_pos_target,dof_pos_actual,dof_tau,base_pos,base_vel
0.6200000000000004,"-0.54002255,-0.01128798,-0.01649034, 0.9421315 ,-0.5163871 , 0.02539281,
 -0.26278195,-0.26721716, 0.1381835 , 0.5673656 , 0.03901841,-0.22763279","-4.90667436e-01,-4.37020801e-02, 8.01196651e-04, 9.19126569e-01,
 -5.16284580e-01, 1.04561444e-02,-3.37162393e-01, 4.09382275e-02,
  3.10626334e-03, 6.64799146e-01,-3.48749873e-01,-7.97428767e-02"," -3.40512273,  4.29680383, -1.95463008,  1.67306761, -0.18801932,
   0.09095065,  8.44664482,-30.97109218, 13.88458036,-14.69760272,
  16.59534511, -5.66895754","-0.00925213,-0.07704557, 0.75892289"," 0.00931179,-0.00193175,-0.01985543"
0.6400000000000005,"-0.54068017,-0.01787392,-0.01437778, 0.9429167 ,-0.5106891 , 0.02669693,
 -0.27068457,-0.26239175, 0.1357286 , 0.5631028 , 0.01182157,-0.22517897","-0.50089612,-0.04743192, 0.00121211, 0.92396894,-0.51620049, 0.01444738,
 -0.33915984, 0.04072216, 0.00147802, 0.66817412,-0.35100832,-0.08062427","-3.09641012e+00, 3.88248746e+00,-1.79022670e+00, 2.03399663e+00,
 -2.29305029e-02, 9.76869097e-02, 7.79307806e+00,-3.07725374e+01,
  1.38073427e+01,-1.57564225e+01, 1.58305029e+01,-5.82451063e+00","-0.00904884,-0.07692995, 0.75848982"," 0.01169779, 0.01194247,-0.02221487"
0.6600000000000005,"-0.5383272 ,-0.02576644,-0.01089809, 0.9404447 ,-0.50454146, 0.02750426,
 -0.27747777,-0.2541541 , 0.1321542 , 0.55906403,-0.01331177,-0.21868995","-5.07707052e-01,-4.91173296e-02, 1.27066806e-03, 9.25844851e-01,
 -5.14513668e-01, 1.75769186e-02,-3.40375035e-01, 4.04080079e-02,
  1.84831681e-04, 6.71677125e-01,-3.53690689e-01,-8.07312057e-02","-2.78972505e+00, 3.21429897e+00,-1.56568861e+00, 2.37051206e+00,
 -2.35291149e-02, 9.96663216e-02, 7.05354225e+00,-3.02503743e+01,
  1.36600913e+01,-1.69326991e+01, 1.48861881e+01,-5.78597229e+00","-0.00877573,-0.07653172, 0.75803186"," 0.01557267, 0.02629465,-0.02301886"
0.6800000000000005,"-0.53278214,-0.03561576,-0.00542113, 0.9350006 ,-0.49817866, 0.02771967,
 -0.28296176,-0.24219362, 0.12719068, 0.55622745,-0.03111202,-0.20953543","-5.10985609e-01,-4.93516789e-02, 1.06512426e-03, 9.25310014e-01,
 -5.11355899e-01, 1.99782341e-02,-3.40765093e-01, 3.99210201e-02,
 -7.39887934e-04, 6.75140533e-01,-3.56678566e-01,-7.99502485e-02","-2.54063974e+00, 2.35367647e+00,-1.16102366e+00, 2.46652875e+00,
 -2.84627971e-02, 9.80842944e-02, 6.34219138e+00,-2.93557527e+01,
  1.33618293e+01,-1.80528538e+01, 1.40287557e+01,-5.65233299e+00","-0.0084093 ,-0.07583063, 0.75757366"," 0.02037227, 0.04225355,-0.02283142"
0.7000000000000005,"-0.52365845,-0.04890288, 0.00341273, 0.92596734,-0.491742  , 0.02760584,
 -0.28581628,-0.22630206, 0.12073325, 0.5559329 ,-0.03728735,-0.19990076","-5.10715237e-01,-4.90284207e-02, 7.49144785e-04, 9.22156894e-01,
 -5.07061347e-01, 2.17335599e-02,-3.40518960e-01, 3.91136311e-02,
 -1.24598116e-03, 6.78530293e-01,-3.59836881e-01,-7.81749715e-02"," -2.3257617 ,  1.2997664 , -0.59174574,  2.60885031, -0.03900982,
   0.09306411,  5.71892558,-28.05037488, 12.87939402,-18.9644223 ,
  13.45347084, -5.44674638","-0.00794816,-0.07479312, 0.75713406"," 0.0248533 , 0.05942911,-0.02167993"
0.7200000000000005,"-0.5112632 ,-0.06719912, 0.01720151, 0.9113082 ,-0.485142  , 0.02737091,
 -0.28779116,-0.20606248, 0.11185514, 0.5584551 ,-0.03000785,-0.19145305","-5.06626001e-01,-4.88201226e-02, 7.33703194e-04, 9.15729141e-01,
 -5.02012168e-01, 2.29545865e-02,-3.39568811e-01, 3.79812743e-02,
 -1.40499955e-03, 6.81638641e-01,-3.62993498e-01,-7.56322965e-02","-2.16976876e+00,-1.58390626e-02, 2.60129994e-01, 2.81805790e+00,
 -4.16133076e-02, 8.56639888e-02, 5.27183279e+00,-2.63202074e+01,
  1.22220329e+01,-1.94139103e+01, 1.33298749e+01,-5.22900596e+00","-0.00738134,-0.0733998 , 0.75673347"," 0.03025975, 0.07754325,-0.01973773"
0.7400000000000005,"-0.49548545,-0.09066422, 0.03678123, 0.8860968 ,-0.47680342, 0.02699209,
 -0.28814667,-0.1796624 , 0.10023142, 0.5659369 ,-0.00830147,-0.18525974","-0.49841208,-0.04884486, 0.00296543, 0.90508669,-0.49639217, 0.0238505 ,
 -0.33792609, 0.03653707,-0.00129169, 0.68442049,-0.36605006,-0.07257888"," -2.11697954, -1.82453416,  1.1412555 ,  3.00070813, -0.04624043,
   0.06940308,  4.85489999,-24.12547358, 11.30281526,-19.39824592,
  13.73324946, -5.05682933","-0.00670878,-0.07163519, 0.75637389"," 0.03490839, 0.09626667,-0.0183524 "
0.7600000000000006,"-0.47733334,-0.11462275, 0.05876839, 0.8415355 ,-0.46064585, 0.02718776,
 -0.28428647,-0.14746721, 0.08410193, 0.5800929 , 0.02531338,-0.18018517","-4.85629519e-01,-4.96309160e-02, 9.45087464e-03, 8.87757116e-01,
 -4.89774653e-01, 2.44956672e-02,-3.35950679e-01, 3.47390486e-02,
 -7.71866533e-04, 6.87186048e-01,-3.69033427e-01,-6.91712001e-02"," -2.22405465, -3.97711412,  2.05689859,  3.13626224, -0.06477418,
   0.05286725,  4.61019632,-21.27045545, 10.05146384,-18.72360194,
  14.72062003, -4.97884619","-0.00595741,-0.06946917, 0.75603143"," 0.03756829, 0.11700539,-0.01899694"
0.7800000000000006,"-0.45437792,-0.12380373, 0.07100062, 0.7648697 ,-0.42191613, 0.03089277,
 -0.27669904,-0.1133929 , 0.0655095 , 0.599844  , 0.05724443,-0.17092648","-4.67345605e-01,-5.25386026e-02, 2.05180058e-02, 8.58437245e-01,
 -4.79937485e-01, 2.51051557e-02,-3.34109437e-01, 3.25458225e-02,
  1.45284406e-04, 6.90412714e-01,-3.72083223e-01,-6.54807135e-02"," -2.72981793, -5.85595547,  2.75351741,  3.24358948, -0.11881223,
   0.03935862,  4.84430784,-17.8041845 ,  8.32129864,-17.20727598,
  16.20100928, -4.94781303","-0.00516687,-0.06688178, 0.75565577"," 0.03781428, 0.13737744,-0.02338913"
0.8000000000000006,"-0.41575286,-0.09912468, 0.06055709, 0.6451689 ,-0.340105  , 0.04033906,
 -0.27099243,-0.07513589, 0.04611688, 0.6186945 , 0.04873732,-0.14580074","-0.44175918,-0.05815657, 0.0341667 , 0.80800205,-0.46071645, 0.02658624,
 -0.33257364, 0.03064226, 0.00101011, 0.69420488,-0.37525305,-0.06152351"," -3.65280369, -5.98625882,  2.47569896,  3.47379278, -0.24697789,
   0.03993809,  5.49121657,-14.27637338,  6.40765957,-14.93513241,
  17.61989491, -4.75278706","-0.00436288,-0.06395005, 0.75515882"," 0.0368621 , 0.15066306,-0.03410891"
